출발지,도착지,구분,X축 거리 (m),Y축 거리 (m),X축 이동시간 (분),Y축 이동시간 (분),"이동시간 (분, 순수이동)","이동시간(분, 크레인세팅포함)"
A-1,A-2,적재공간-적재공간,2.634,0,0.3556,0,0.3556,2.6556
A-1,A-3,적재공간-적재공간,5.294,0,0.7147,0,0.7147,3.0147
A-1,A-4,적재공간-적재공간,7.9169,0,1.0688,0,1.0688,3.3688
A-1,B-1,적재공간-적재공간,7.907,3.948,1.0675,0.1777,1.0675,3.3675
A-1,B-2,적재공간-적재공간,5.273,3.948,0.7119,0.1777,0.7119,3.0119
A-1,B-3,적재공간-적재공간,2.613,3.948,0.3528,0.1777,0.3528,2.6528
A-1,B-4,적재공간-적재공간,7.907,3.248,1.0675,0.1462,1.0675,3.3675
A-1,B-5,적재공간-적재공간,5.273,3.248,0.7119,0.1462,0.7119,3.0119
A-1,B-6,적재공간-적재공간,2.613,3.248,0.3528,0.1462,0.3528,2.6528
A-1,C-1,적재공간-적재공간,5.469,19.4401,0.7384,0.8749,0.8749,3.1749
A-1,C-2,적재공간-적재공간,2.663,19.4401,0.3595,0.8749,0.8749,3.1749
A-1,C-3,적재공간-적재공간,0.137,19.4401,0.0185,0.8749,0.8749,3.1749
A-1,C-4,적재공간-적재공간,5.469,12.236,0.7384,0.5507,0.7384,3.0384
A-1,C-5,적재공간-적재공간,2.663,12.236,0.3595,0.5507,0.5507,2.8507
A-1,C-6,적재공간-적재공간,0.137,12.236,0.0185,0.5507,0.5507,2.8507
A-2,A-3,적재공간-적재공간,2.66,0,0.3591,0,0.3591,2.6591
A-2,A-4,적재공간-적재공간,5.2829,0,0.7132,0,0.7132,3.0132
A-2,B-1,적재공간-적재공간,10.541,3.948,1.4231,0.1777,1.4231,3.7231
A-2,B-2,적재공간-적재공간,7.907,3.948,1.0675,0.1777,1.0675,3.3675
A-2,B-3,적재공간-적재공간,5.247,3.948,0.7084,0.1777,0.7084,3.0084
A-2,B-4,적재공간-적재공간,10.541,3.248,1.4231,0.1462,1.4231,3.7231
